"date","actual","point","q05_xgb","q95_xgb","conformal_lo","conformal_hi"
2023-11-28,130765.372529762,129874.932392883,128332.944944668,138890.695251486,124301.026730359,135448.838055407
2023-11-29,124893.173539234,124746.138442276,123040.130351297,133025.749557641,119172.232779752,130320.0441048
2023-11-30,128916.992550228,124808.612355198,120659.263822656,129056.581783203,119234.706692673,130382.518017722
2023-12-01,123910.483026173,129588.267133192,123828.833234338,132386.246875591,124014.361470668,135162.172795716
2023-12-02,127544.882032112,126337.769065499,119273.888574194,128508.69308455,120763.863402975,131911.674728023
2023-12-03,129619.040529016,131663.275886863,124591.813330851,133094.400795199,126089.370224339,137237.181549388
2023-12-04,129936.667030619,130497.201391014,124452.514266307,132387.004403662,124923.29572849,136071.107053538
2023-12-05,131168.875526384,131695.298814252,125016.965556331,132953.963799572,126121.393151727,137269.204476776
2023-12-06,125379.297039134,130652.61092895,126453.850416995,135155.026582673,125078.705266426,136226.516591474
2023-12-07,128763.380541164,127014.174667285,124728.770302714,131234.293377455,121440.269004761,132588.080329809
2023-12-08,120603.853028596,125776.950128598,123806.043318757,132169.39350399,120203.044466073,131350.855791122
2023-12-09,116157.078532835,117709.379482848,116614.270983397,126774.077759384,112135.473820324,123283.285145372
2023-12-10,122131.458514416,114670.304848594,110532.542141849,121839.292089655,109096.39918607,120244.210511118
2023-12-11,121536.506034094,120626.933317767,112711.331018546,126413.336402729,115053.027655243,126200.838980291
2023-12-12,127228.351034318,120541.833925661,114812.340825027,130771.783795793,114967.928263137,126115.739588185
2023-12-13,130980.575524451,131132.581205733,122271.725653034,132088.621740905,125558.675543209,136706.486868257
2023-12-14,131102.059553828,130286.548579788,126369.701900816,134451.679431677,124712.642917263,135860.454242312
2023-12-15,125281.444029624,127176.594112232,125743.48819552,134159.134387639,121602.688449708,132750.499774756
2023-12-16,123152.631548711,127011.025297474,123948.401375303,130202.581371999,121437.11963495,132584.930959998
2023-12-17,132379.869045973,128659.403196238,121434.094878923,128530.509974329,123085.497533714,134233.308858762
2023-12-18,139397.862068007,137931.717878196,127958.371020542,141253.744271301,132357.812215672,143505.62354072
2023-12-19,144055.600022787,142415.257255129,133225.329636768,142437.533268289,136841.351592605,147989.162917653
2023-12-20,141465.724545813,140730.689209866,135311.595525011,146352.433779885,135156.783547342,146304.59487239
2023-12-21,137195.435529948,138445.42630915,132466.316316408,144320.523141648,132871.520646626,144019.331971675
2023-12-22,133572.216536687,132405.312650232,129028.030636773,140363.561699096,126831.406987708,137979.218312756
2023-12-23,133280.357516231,132302.314372211,128361.954365482,139309.759243531,126728.408709686,137876.220034735
2023-12-24,126764.055016307,136228.059633252,129022.616476774,141074.557649921,130654.153970728,141801.965295776
2023-12-25,120234.580027565,128314.343197285,125049.637864751,133470.261533063,122740.437534761,133888.248859809
2023-12-26,133496.162545796,129062.735874981,120112.769134256,130020.672688073,123488.830212457,134636.641537505
2023-12-27,130726.16803621,135307.466175315,132041.769033835,139712.765175749,129733.560512791,140881.371837839
2023-12-28,130468.01954402,130178.245971412,126803.460382815,134232.210920186,124604.340308888,135752.151633937
2023-12-29,126897.467530363,128205.723706758,125271.89275688,134328.512551825,122631.818044234,133779.629369282
2023-12-30,121750.213018886,125891.435645845,125191.63494588,130352.294411763,120317.529983321,131465.34130837
2023-12-31,126124.641039777,124178.646483213,119367.654915268,127747.917793098,118604.740820689,129752.552145737
2024-01-01,117849.044536839,129259.205471368,123244.708548151,131613.938151732,123685.299808844,134833.111133892
2024-01-02,127448.744038568,122653.279244622,118182.482172516,126425.754497527,117079.373582098,128227.184907146
2024-01-03,123114.262024808,129706.098086335,124858.018635958,132777.834493952,124132.19242381,135280.003748859
2024-01-04,123360.092036602,127544.50054782,120539.764688536,128917.57753753,121970.594885296,133118.406210345
2024-01-05,130810.965045476,127108.449640507,120767.593853015,128195.575909242,121534.543977983,132682.355303031
