"user_id","tipo_anomalia","total_records","n_negativos","kWh_negativos_abs","n_extremos_horarios","kWh_extremos_horarios","n_dias_negativos","kWh_dias_negativos_abs","n_dias_extremos","kWh_dias_extremos","kWh_afectado_horario","pct_kWh_usuario_afectado","pct_kWh_global_afectado"
"c98a894bc1afcd01c55a8a9f82e2a4e86160e901af1183f35beeb9c3fa34f29b","extremos diarios",2689,0,0,0,0,0,0,6,1274.837,0,0,0
"a7d5ce768120e658d1063623c152708e872fd122f99f20d2075951af90af3a43","extremos diarios",27312,0,0,0,0,0,0,551,227654.13,0,0,0
"f2f417ea29408bc10eca4d6be20a38fba058c9e2986f00e5ccf903240ffb3966","extremos diarios",21671,0,0,0,0,0,0,37,8056.831,0,0,0
"31c3e44775afc346dc6344a8797fc8dd053640f6c2fcd465b5e668924efe48cd","extremos diarios",26688,0,0,0,0,0,0,1,209.144,0,0,0
"1b60d3fb7c6e395b7aa54a1f32328684558ff64f8138f533c491bff323eba3af","extremos diarios",25776,0,0,0,0,0,0,86,21184.819,0,0,0
"4b063a2a0f2ecc37ffb0b1e09f5603a3f0c85fe183930d163aada4a46b2b3a41","extremos diarios",16080,0,0,0,0,0,0,5,1025.62,0,0,0
"cd5ff1b72c3daf8e8de8c722ba914b7510923b3cfbdf1b2c50e58986096da505","extremos diarios",14783,0,0,0,0,0,0,143,34331,0,0,0
"d38cee75b7d65ba768b1492579a4938de5e4feb6df8c52b35245bf07a68c6db2","extremos diarios",34680,0,0,0,0,0,0,637,197556.399,0,0,0
"629c11d318cb48b11b006ce388395fb2d9a0ad26899efae61e63c41c52821d27","extremos diarios",34752,0,0,0,0,0,0,1,221.719,0,0,0
"2fe46700cd67ddd4e9f6b8e1a37e7801200a96f5c35b6751d9f48cf3eeaeac47","extremos diarios",33625,0,0,0,0,0,0,8,1823.092,0,0,0
"440c35b82a50923e8575df83744288a483a55060370904b491da635ab78d8159","extremos diarios",16128,0,0,0,0,0,0,153,34039.476,0,0,0
"799ef7f0bf6790c505af6a0474774a2e41f0d444b477fbd43305f7ca88a77a7a","extremos diarios",23881,0,0,0,0,0,0,995,479938.8901,0,0,0
"40f1dda2fb7bd8e707f63d56dc6d78dcc4f543ed510ff71806e13a91419124ac","extremos diarios",7177,0,0,0,0,0,0,3,641.27,0,0,0
"f5404e3e6d3f4adaeb1600b57a45966442231244beb074e8f5c17d2ec49972ef","extremos diarios",37775,0,0,0,0,0,0,5,1344.639,0,0,0
"32dacbd5ba3b1fa3a79b35efbc687c205106fa530c61dadd1fae27a9718de1e6","extremos diarios",34752,0,0,0,0,0,0,33,7044.204,0,0,0
"ebb5cb059d9dbaa224a279fa70351e0d2a98ed68befdb7589b0c728d5e81e196","extremos diarios",6912,0,0,0,0,0,0,29,6903.674,0,0,0
"07528cef12b6bca4b056d8ca1201a5cdecbb2a593ea674fcfc4a636d836e4b07","extremos diarios",16056,0,0,0,0,0,0,252,61303.5,0,0,0
"7063493f53223431510258fc78cb235d53df400c2bc704649ffd98da3e19d939","extremos diarios",46729,0,0,0,0,0,0,2,407.515,0,0,0
"cd3c9d36348e8f32c749dffa87c40f74f047a842bb295ffb2fba419c90d40a96","extremos diarios",10871,0,0,0,0,0,0,157,39734.239,0,0,0
"164709c0bb239f6251840bc1b4e223d0f7a46d8de970d53860addad8c2627490","extremos diarios",34752,0,0,0,0,0,0,273,66567.613,0,0,0
"d22eeaea15f08da38628e365543f79d83f1c421b18b7563302656280e730d4ce","extremos diarios",15192,0,0,0,0,0,0,3,628.344,0,0,0
"2edd03e0cccba9f87f79feb935e912a6bec2b60e28b78307cd7f37c96d84e202","extremos diarios",46033,0,0,0,0,0,0,1309,710605.448,0,0,0
"5a140947d20e0e6c06099181db1a11c41239f8943a6b209fe1a611ae8bedbd63","extremos diarios",34728,0,0,0,0,0,0,151,34634.29,0,0,0
"23ed97ba6bc58b52fb85e31a6c8e950393b7e0885cc3dd6d7e711062f0f87abb","extremos diarios",58321,0,0,0,0,0,0,130,42114.444,0,0,0
"4384e51cbfbd3c7f17593f5a2a89e13166fa33af3e10b0cd375cd2fba9d05f90","extremos diarios",17664,0,0,0,0,0,0,322,82111.771,0,0,0
"8f93aedcf4d0a772b06b0651696bceeb245580044bfd2ba20125c0c0308905f7","extremos diarios",9096,0,0,0,0,0,0,2,424.723,0,0,0
"fde80368a6870d2d9f8ce8948249ab7c7b9e45d1753105cea7e281d02a8b51db","extremos diarios",29089,0,0,0,0,0,0,2,427.859,0,0,0
